"Index","Text","Bold","Underline","Color","Highlight"
"0","Tổng hợp các câu hỏi trắc nghiệm Nhập Môn Web Và Ứng Dụng","False","False","",""
"1","Đề 1: (2020-2021)","True","False","00B050",""
"2","1. Đoạn mã ab<c>d</c> xuất ra trên trình duyệt là gì?","True","False","FF0000",""
"3","a. ab<c>d</c>","False","False","",""
"4","b. abd","True","False","","yellow"
"5","c. abcd","True","False","","none"
"6","d. Lỗi","False","False","",""
"7","2. Đoạn mã X<sup>2</sup> xuất ra trình duyệt là gì?","True","False","FF0000",""
"8","a. X₂","False","False","",""
"9","b. X2","False","False","",""
"10","c. X²","True","False","","yellow"
"11","d. X<sup>2</sup>","False","False","",""
"12","3. Trong <table> thuộc tính màu nền là?","True","False","FF0000","yellow"
"13","a. background","False","False","",""
"14","b. bordercolor","False","False","",""
"15","c. bgcolor","True","False","","yellow"
"16","d. background-color","True","False","","none"
"17","4. Để mở liên kết trong một cửa sổ mới sử dụng thuộc tính?","True","False","FF0000",""
"18","a. target=”_top”","False","False","",""
"19","b. target=”_self”","False","False","",""
"20","c. target=”_blank”","True","False","","yellow"
"21","d. target=”_parent”","False","False","",""
"22","5. Tag nào dùng để tạo tiêu đề kích thước nhỏ nhất?","True","False","FF0000",""
"23","a. <h1>","False","False","",""
"24","b. <h6>","True","False","","yellow"
"25","c. <heading>","False","False","",""
"26","d. <header>","False","False","",""
"27","6. Thuộc tính nào xác định tốc độ chuyển động của <marquee>?","True","False","FF0000",""
"28","a. scrollamount","True","False","","yellow"
"29","b. behavior","False","False","",""
"30","c. direction","False","False","",""
"31","d. loop","False","False","",""
"32","7. Trong textfield <input type=""text""/> thuộc tính nào giới hạn số ký tự nhập vào?","True","False","FF0000","yellow"
"33","a. size","False","False","",""
"34","b. maxlength","True","False","","yellow"
"35","c. width","False","False","",""
"36","d. value","False","False","",""
"37","8. Thuộc tính nào dùng để tạo gợi ý nhập liệu cho 1 text field?","True","False","FF0000",""
"38","a. recommend","False","False","",""
"39","b. hint","False","False","",""
"40","c. placeholder","True","False","","yellow"
"41","d. hint = “Nhập số”","False","False","",""
"42","9. Thêm thuộc tính nào vào <input type=""text"" ...> để không cho người dùng thay đổi giá trị của nó nhưng vẫn gửi dữ liệu lên server?","True","False","FF0000",""
"43","a. enable=""false""","False","False","",""
"44","b. readonly","True","False","","yellow"
"45","c. locked","False","False","",""
"46","d. change-value=""no""","False","False","",""
"47","10. Thẻ nào sau đây dùng để tạo một liên kết trong trang1.html đến vị trí pos1 trong trang2.html biết 2 trang lưu trong cùng 1 thư mục?","True","False","FF0000",""
"48","a. <a href=""pos1&trang2.html""></a>","False","False","",""
"49","b. <a href=""trang2.html&pos1""></a>","False","False","",""
"50","c. <a href=""trang2.html#pos1""></a>","True","False","","yellow"
"51","d. <a href=""trang2.html@pos1""></a>","False","False","",""
"52","11. Trong CSS, thuộc tính nào dùng để định dạng màu chữ?","True","False","FF0000",""
"53","a. font-color","False","False","",""
"54","b. font color","False","False","",""
"55","c. color","True","False","","yellow"
"56","d. text-color","False","False","",""
"57","12. Thuộc tính nào trong CSS dùng để định dạng chữ nghiêng?","True","False","FF0000",""
"58","a. text-decoration","False","False","",""
"59","b. text-transform","False","False","",""
"60","c. italic","False","False","",""
"61","d. font-style","True","False","","yellow"
"62","13. Thuộc tính nào trong CSS định dạng kiểu border phía top của element","True","False","FF0000",""
"63","a. border–style","False","False","",""
"64","b. border-top-type","False","False","",""
"65","c. border-top-family","False","False","",""
"66","d. border-top-style","True","False","","yellow"
"67","14. Nếu viết padding: 20px 50px 10px 30px thì padding-bottom là bao nhiêu?","True","False","FF0000","yellow"
"68","a. 10px","True","False","","yellow"
"69","b. 50px","False","False","",""
"70","c. 20px","False","False","",""
"71","d. 30px","False","False","",""
"72","15. CSS selector sau đây mang ý nghĩa gì?   ul > li[class=""a""] { }","True","False","FF0000",""
"73","a. selector các thẻ li con gián tiếp của ul và có class là a","False","False","",""
"74","b. selector các thẻ li đồng cấp của ul và có class là a","False","False","",""
"75","c. selector các thẻ li theo sau của ul và có class là a","False","False","",""
"76","d. selector các thẻ li con trực tiếp của ul và có class là a","True","False","FF0000","yellow"
"77","16. Khi sử dụng thuộc tính display: flex, thì thuộc tính nào đi kèm xác định chiều của các item con trực tiếp","True","False","FF0000",""
"78","a. flex-t","False","False","",""
"79","b. flex-grow","False","False","",""
"80","c. flex-direction","True","False","","yellow"
"81","d. auto","False","False","",""
"82","17. Để định dạng màu nền cho các ô thuộc dòng đầu tiên của table có id là tbl1, mã css nào đúng?","True","False","FF0000",""
"83","a. table tr {background-color:#F00;}","False","False","",""
"84","b. #tbl1 tr1 {background-color:#F00;}","False","False","",""
"85","c. #tbl1 tr:first {background-color:#F00;}","False","False","",""
"86","d. #tbl1 tr:first-child {background-color:#F00;}","True","False","","yellow"
"87","18. Chọn khai báo quan hệ Descendant Selector giữa div và p?","True","False","FF0000",""
"88","a. div ~ p","False","False","",""
"89","b. div p","True","False","","yellow"
"90","c. div * p","False","False","",""
"91","d. div + p","False","False","",""
"92","19. Giá trị nào của thuộc tính position có cố định so với cửa sổ và không thay đổi khi scroll?","True","False","FF0000",""
"93","a. Absolute","False","False","",""
"94","b. Fixed","True","False","","yellow"
"95","c. Relative","False","False","",""
"96","d. Static","False","False","",""
"97","20. pseudo-class CSS đại diện cho phần tử cuối cùng trong nhóm các phần tử đồng cấp","True","False","FF0000",""
"98","a. :end-child","False","False","",""
"99","b. :last-element","True","False","","none"
